1576	Lyon (Frankreich)	45.45	4.51
790	Friedrichstadt (Schleswig-Holstein)	54.22	9.05
2101	Raqqa (Syrien)	35.57	39.03
2338	Schwabach (Bayern)	49.20	11.02
380	Braila (Rumänien)	45.17	27.58
974	Güssing (Burgenland)	47.04	16.20
2275	Schafstädt (Sachsen-Anhalt)	51.23	11.46
2012	Pfullendorf (Baden-Württemberg)	47.55	9.15
2518	Taipeh (Taiwan)	25.03	121.30
2682	Visselhövede (Niedersachsen)	52.59	9.36
2825	Wildeshausen (Niedersachsen)	52.54	8.26
1153	Hoya (Niedersachsen)	52.48	9.09
1705	Moosburg an der Isar (Bayern)	48.28	11.56
209	Bad Schussenried (Baden-Württemberg)	48.01	9.39
948	Großenehrich (Thüringen)	51.15	10.50
77	Annaberg-Buchholz (Sachsen)	50.34	13.00
191	Bad Neustadt an der Saale (Bayern)	50.20	10.13
1402	Lambrecht (Pfalz) (Rheinland-Pfalz)	49.22	8.04
1110	Hirschhorn (Neckar) (Hessen)	49.27	8.54
1079	Herisau (Schweiz)	47.24	9.16
1198	Isny im Allgäu (Baden-Württemberg)	47.42	10.02
5	Aarau (Schweiz)	47.23	8.03
2901	Zahna (Sachsen-Anhalt)	51.55	12.47
2573	Tönning (Schleswig-Holstein)	54.19	8.57
602	Dortmund (Nordrhein-Westfalen)	51.31	7.27
1138	Hongkong (China)	22.17	114.09
899	Goldkronach (Bayern)	50.01	11.41
375	Boulogne (Frankreich)	50.43	1.37
1189	Iphofen (Bayern)	49.41	10.17
463	Cagayan De Oro (Philippinen)	8.29	124.40
1598	Mank (Niederösterreich)	48.06	15.20
573	Dillingen an der Donau (Bayern)	48.34	10.29
2555	Thannhausen (Bayern)	48.17	10.28
2807	Wetter (Ruhr) (Nordrhein-Westfalen)	51.23	7.24
2076	Quedlinburg (Sachsen-Anhalt)	51.47	11.09
180	Bad Liebenzell (Baden-Württemberg)	48.46	8.44
318	Biberach an der Riß (Baden-Württemberg)	48.06	9.48
1915	Oer-Erkenschwick (Nordrhein-Westfalen)	51.38	7.15
1896	Oberursel (Taunus) (Hessen)	50.12	8.35
549	Delmenhorst (Niedersachsen)	53.03	8.37
2842	Wirges (Rheinland-Pfalz)	50.28	7.48
1218	Johanngeorgenstadt (Sachsen)	50.26	12.44
2746	Wasserburg am Inn (Bayern)	48.04	12.14
2407	Sinsheim (Baden-Württemberg)	49.15	8.53
2134	Remscheid (Nordrhein-Westfalen)	51.11	7.12
2072	Püttlingen (Saarland)	49.17	6.53
1381	Kuwait City (Kuwait)	29.20	47.59
1173	Idstein (Hessen)	50.14	8.16
853	Genthin (Sachsen-Anhalt)	52.24	12.10
1016	Harbin (China)	45.45	126.41
2362	Schwetzingen (Baden-Württemberg)	49.23	8.35
2482	Stolpen (Sachsen)	51.03	14.05
1776	Neckarbischofsheim (Baden-Württemberg)	49.18	8.58
1166	Hyderabad (Indien)	17.22	78.26
822	Garding (Schleswig-Holstein)	54.20	8.47
300	Bergisch Gladbach (Nordrhein-Westfalen)	50.59	7.08
446	Burgdorf (Niedersachsen)	52.04	10.33
1382	Kwangju (Korea)	35.07	126.52
459	Buttstädt (Thüringen)	51.07	11.25
456	Burscheid (Nordrhein-Westfalen)	51.06	7.07
930	Greven (Nordrhein-Westfalen)	52.06	7.37
2827	Wilhelmshaven (Niedersachsen)	53.31	8.08
282	Beilngries (Bayern)	49.02	11.28
723	Ettenheim (Baden-Württemberg)	48.15	7.49
745	Flensburg (Schleswig-Holstein)	54.47	9.26
1843	Nha Trang (Vietnam)	12.15	109.10
1481	Leverkusen (Nordrhein-Westfalen)	51.01	6.59
1682	Mirow (Mecklenburg-Vorpommern)	53.30	11.30
2318	Schönebeck (Elbe) (Sachsen-Anhalt)	52.44	11.35
183	Bad Mergentheim (Baden-Württemberg)	49.30	9.46
1884	Oberkirch (Baden-Württemberg)	48.32	8.05
1246	Kanpur (Indien)	26.27	80.14
1212	Jerusalem (Israel)	31.47	35.13
277	Beelitz (Brandenburg)	52.14	12.58
1535	London (Großbritannien)	51.31	0.05
2433	Split (Kroatien)	43.31	16.28
1008	Hamm (Nordrhein-Westfalen)	51.40	7.48
626	Eberbach (Baden-Württemberg)	49.18	9.49
73	Angermünde (Brandenburg)	53.02	14.00
496	Cloppenburg (Niedersachsen)	52.51	8.02
936	Grimmen (Mecklenburg-Vorpommern)	54.06	13.03
1936	Opfikon (Schweiz)	47.26	8.35
1525	Lodsch (Polen)	51.49	19.28
600	Dornstetten (Baden-Württemberg)	48.27	8.30
421	Brunsbüttel (Schleswig-Holstein)	53.54	9.09
1044	Heidenau (Sachsen)	50.59	13.52
218	Bad Sulza (Thüringen)	51.05	11.36
1468	Lengerich (Nordrhein-Westfalen)	52.11	7.52
60	Altstätten (Schweiz)	47.23	9.32
867	Gernsbach (Baden-Württemberg)	48.46	8.20
767	Freiburg im Breisgau (Baden-Württemberg)	48.00	7.51
333	Bitburg (Rheinland-Pfalz)	49.58	6.32
2683	Vlotho (Nordrhein-Westfalen)	52.10	8.51
2480	Stolberg (Rheinland) (Nordrhein-Westfalen)	50.46	6.14
2366	Seehausen (Sachsen-Anhalt)	52.06	11.18
691	Ennepetal (Nordrhein-Westfalen)	51.18	7.21
1777	Neckargemünd (Baden-Württemberg)	49.24	8.48
1614	Markneukirchen (Sachsen)	50.19	12.19
965	Gudensberg (Hessen)	51.11	9.22
2778	Weitra (Niederösterreich)	48.42	14.53
4	Aalen (Baden-Württemberg)	48.50	10.06
903	Gordola (Schweiz)	46.11	8.51
1263	Keelung (Taiwan)	25.08	121.44
1673	Metzingen (Baden-Württemberg)	48.32	9.16
2667	Vetschau - Spreewald (Brandenburg)	51.47	14.04
1732	Multan (Pakistan)	30.10	71.36
106	Aub (Bayern)	49.33	10.04
1993	Pegnitz (Bayern)	49.45	11.33
1067	Hennigsdorf (Brandenburg)	52.38	13.12
2476	Stockach (Baden-Württemberg)	47.43	9.59
216	Bad Sooden-Allendorf (Hessen)	51.17	9.59
939	Groitzsch (Sachsen)	51.04	13.25
478	Cham (Schweiz)	47.11	8.28
19	Adenau (Rheinland-Pfalz)	50.23	6.56
402	Bremervörde (Niedersachsen)	53.29	9.08
415	Bruck an der Leitha (Niederösterreich)	48.01	16.46
1146	Hornburg (Niedersachsen)	52.01	10.37
1422	Langenzenn (Bayern)	49.30	10.48
1445	Lauter - Sam (Sachsen)	50.34	12.44
587	Dohna (Sachsen)	50.57	13.52
2219	Rue (Schweiz)	46.37	6.49
571	Dillenburg (Hessen)	50.44	8.17
866	Gernrode (Sachsen-Anhalt)	51.44	11.08
2395	Shubra Al-Khaima (Ägypten)	30.06	31.15
521	Da Nang (Vietnam)	16.04	108.14
2731	Wallisellen (Schweiz)	47.25	8.35
2831	Willisau (Schweiz)	47.07	7.59
2114	Recklinghausen (Nordrhein-Westfalen)	51.37	7.12
2598	Tripolis (Libyen)	32.54	13.11
254	Bargteheide (Schleswig-Holstein)	53.44	10.16
1114	Höchstadt an der Aisch (Bayern)	49.42	10.48
522	Dachau (Bayern)	48.16	11.26
439	Büren (Nordrhein-Westfalen)	51.59	7.02
1053	Heimsheim (Baden-Württemberg)	48.48	8.51
